Code SINOE EPCI adherant,Nom adherant,Code sinoe SYNDICAT,Nom syndicat
55552,Communauté dAgglomération de Alès,1130,Sitom Sud Gard
57760,Communauté de Communes Pyrénées Haut Garonnaises,1132,Sivom du Haut-Comminges
57786,Communauté de Communes Neste Barousse,1132,Sivom du Haut-Comminges
56861,Communauté de Communes Moret Seine et Loing,1161,Smetom de la Vallee du Loing
56888,Communauté de Communes Pays de Nemours,1161,Smetom de la Vallee du Loing
59474,Communauté de Communes Provence Verdon,1179,Syndicat Mixte de la Zone du Verdon
1186,Communauté de Communes du Pays de Pouzauges,1187,Scom Est Vendéen
56258,Communauté de Communes du Pays de Chantonnay,1187,Scom Est Vendéen
57495,Communauté de Communes du Pays de Saint-fulgent - les Essarts,1187,Scom Est Vendéen
578,Communauté de Communes du Pays de la Châtaigneraie,1187,Scom Est Vendéen
17716,Communauté de Communes Sausseron Impressionnistes,1195,Smirtom du Vexin
56400,Communauté de Communes Vexin Centre,1195,Smirtom du Vexin
56887,Communauté de Communes du Vexin-Val de Seine,1195,Smirtom du Vexin
1209,Communauté de Communes Forets, Lacs, Terres en Champagne,1210,Syndicat Intercommunal dElimination des Déchets Ménagers du Territoire dOrient
55897,Communauté de Communes des Lacs de Champagne,1210,Syndicat Intercommunal dElimination des Déchets Ménagers du Territoire dOrient
57434,Communauté dAgglomération Troyes Champagne Métropole,1210,Syndicat Intercommunal dElimination des Déchets Ménagers du Territoire dOrient
